Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,1.00,0.9031,0.0712,0.8575,0.5523
1,31,1.00,0.9047,0.1133,0.8520,0.5175
2,32,1.00,0.9126,0.1180,0.8450,0.4894
3,33,1.00,0.9177,0.1412,0.8551,0.3493
4,34,1.00,0.9212,0.2157,0.7788,0.6549
5,35,1.00,0.9210,0.2158,0.7598,0.5823
6,36,1.00,0.9186,0.3291,0.8121,0.4915
7,37,1.00,0.9169,0.3403,0.8221,0.4558
8,38,1.00,0.9230,0.3428,0.8091,0.4709
9,39,1.00,0.9231,0.3964,0.8260,0.4717
10,40,1.00,0.9294,0.4045,0.8310,0.6055
11,41,1.00,0.9289,0.4067,0.8351,0.5802
12,42,1.00,0.9273,0.4342,0.8419,0.5096
13,43,1.00,0.9357,0.4667,0.8377,0.5059
14,44,1.00,0.9358,0.4602,0.8455,0.5188
15,45,1.00,0.9352,0.4542,0.8494,0.5035
16,46,1.00,0.9318,0.4974,0.8471,0.5993
17,47,1.00,0.9334,0.4995,0.8315,0.5688
18,48,1.00,0.9311,0.5162,0.8451,0.5735
19,49,1.00,0.9276,0.5320,0.6911,1.1055
20,50,1.00,0.9329,0.5293,0.8366,0.6229
21,51,1.00,0.9334,0.5361,0.6912,1.3989
22,52,1.00,0.9339,0.5333,0.6774,1.4029
23,53,1.00,0.9338,0.5308,0.7821,0.8915
24,54,1.00,0.9320,0.5279,0.8808,0.6164
25,55,1.00,0.9328,0.5229,0.8822,0.6061
26,56,1.00,0.9292,0.5289,0.8778,0.5999
27,57,1.00,0.9310,0.5229,0.7202,1.2050
28,58,1.00,0.9297,0.5188,0.9007,0.6349
29,59,1.00,0.9314,0.5176,0.8881,0.5473
30,60,1.00,0.9309,0.5173,0.8809,0.5541
31,61,1.00,0.9318,0.5120,0.8842,0.6213
32,62,1.00,0.9336,0.5121,0.8557,0.5946
33,63,1.00,0.9372,0.5329,0.7933,0.9253
34,64,1.00,0.9362,0.5331,0.8576,0.6595
35,65,1.00,0.9364,0.5374,0.8547,0.5783
36,66,1.00,0.9357,0.5634,0.8781,0.6863
37,67,1.00,0.9365,0.5677,0.8827,0.6782
38,68,1.00,0.9379,0.5689,0.8811,0.6764
39,69,1.00,0.9366,0.5875,0.8804,0.7015
40,70,1.00,0.9382,0.5824,0.8873,0.7046
41,71,1.00,0.9389,0.6015,0.8846,0.6967
42,72,1.00,0.9389,0.6075,0.8781,0.6966
43,73,1.00,0.9381,0.6249,0.8771,0.7238
44,74,1.00,0.9401,0.6247,0.8817,0.6922
45,75,1.00,0.9386,0.6338,0.8841,0.7111
46,76,1.00,0.9384,0.6334,0.8800,0.7141
47,77,1.00,0.9405,0.6349,0.8802,0.6911
48,78,1.00,0.9436,0.6473,0.8825,0.7148
49,79,1.00,0.9443,0.6334,0.8796,0.7120
