Loop,N_Points,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.9106,0.1088,0.8249,0.3995
1,31,0.9054,0.0878,0.8712,0.3777
2,32,0.9051,0.1220,0.8347,0.3768
3,33,0.9030,0.0900,0.9178,0.2021
4,34,0.9048,0.1046,0.7847,0.4048
5,35,0.9074,0.1292,0.8284,0.4731
6,36,0.9093,0.0652,0.7995,0.6969
7,37,0.9043,0.0961,0.8599,0.4927
8,38,0.9060,0.0792,0.8167,0.4664
9,39,0.9067,0.0914,0.8382,0.5468
10,40,0.9106,0.0845,0.8603,0.4379
11,41,0.9070,0.0744,0.9002,0.2406
12,42,0.9093,0.0756,0.8519,0.5591
13,43,0.9093,0.0644,0.8489,0.5515
14,44,0.9058,0.0906,0.7146,0.6746
15,45,0.9089,0.1111,0.8201,0.5487
16,46,0.9076,0.0697,0.7909,0.6864
17,47,0.9099,0.0939,0.9031,0.1066
18,48,0.9074,0.1058,0.8925,0.4107
19,49,0.9099,0.0683,0.8683,0.3545
20,50,0.9100,0.0923,0.8272,0.5901
21,51,0.9076,0.0798,0.8718,0.5090
22,52,0.9068,0.1015,0.8083,0.7052
23,53,0.9072,0.1021,0.8936,0.3573
24,54,0.9095,0.0947,0.9316,0.3604
25,55,0.9091,0.0952,0.8229,0.5057
26,56,0.9077,0.0847,0.8989,0.4334
27,57,0.9090,0.0871,0.8127,0.6085
28,58,0.9118,0.0789,0.6149,1.1021
29,59,0.9099,0.0898,0.8786,0.5080
30,60,0.9108,0.1007,0.8615,0.4683
31,61,0.9084,0.0911,0.8852,0.4710
32,62,0.9098,0.0948,0.8766,0.4237
33,63,0.9076,0.1121,0.8708,0.5093
34,64,0.9075,0.0983,0.8670,0.6076
35,65,0.9082,0.0789,0.8096,0.7436
36,66,0.9099,0.0948,0.8777,0.4572
37,67,0.9102,0.0909,0.9294,0.3566
38,68,0.9100,0.0908,0.8446,0.5053
39,69,0.9085,0.1071,0.7654,0.6776
40,70,0.9114,0.0732,0.9047,0.4132
41,71,0.9077,0.0894,0.8884,0.4369
42,72,0.9095,0.0931,0.8841,0.4743
43,73,0.9100,0.0873,0.7938,0.6127
44,74,0.9096,0.1022,0.8939,0.4631
45,75,0.9097,0.0895,0.8873,0.4803
46,76,0.9097,0.0800,0.8813,0.5085
47,77,0.9114,0.0949,0.8842,0.5394
48,78,0.9093,0.0844,0.8340,0.5810
49,79,0.9110,0.0828,0.9045,0.4162
50,80,0.9116,0.0818,0.7969,0.7451
