Density,Intolerance threshold,Convergence,Sparsity
0.5864953417721017,0.7104122213794013,True,3.4188999489791234
0.7261087483660742,0.0565789343019788,True,3.303883917313456
0.529577151144958,0.12620214350923178,True,4.115280644128378
0.6844260133227869,0.5322503244144736,True,4.038006236132581
0.4770915532382291,0.9704843357845324,True,7.159905658452096
0.13411761016568166,0.6158568308741977,True,17.84177757160815
0.9242704574946691,0.40648795692839895,True,0.9061733198028967
0.7634645734460416,0.8046584161203104,True,3.291423358259148
0.3650168954228173,0.19755883296162008,True,5.798689298488299
0.43168665540343415,0.76015881191656,True,4.796318131619695
0.22924754896266195,0.0991874117212252,True,8.672518465364266
0.146227749878293,0.9260243010340656,True,13.733417543515635
0.6444880085186792,0.22742538710902768,True,2.395504507809105
0.9491442205927653,0.8335787423250336,True,3.745905815478335
0.8245223516311743,0.655660466489417,True,3.757506580861965
0.07910785248029244,0.4347934588595743,True,18.05652458067232
0.3343118286757552,0.34515086560432895,True,3.4769387376864964
0.9716133009382126,0.5729823786361429,True,3.1962958699657893
0.2923012979715226,0.6944226065352612,True,8.142677281849586
0.548752236818559,0.3964373707107399,True,3.1836870538915294
0.40503303480503183,0.01462928132506841,True,7.54326392332552
0.7817867865079957,0.32105547997073547,True,1.2811874152019322
0.8939685044575706,0.14834619792985224,True,2.4792996407748698
0.1872363347996752,0.26879390853680585,True,6.457609008593335
0.03554054960234679,0.2409079573928259,True,25.907686999699997
0.6082874096760705,0.8888283618864011,True,4.89304741087037
0.07133373135707562,0.7762776034643415,True,42.615974562587795
0.45440179312299217,0.5456819902011623,True,6.022322786581825
0.2556326685613019,0.4894349651080818,True,6.149319780550349
0.8415969706816787,0.9522913731984298,True,3.7569392958903256
0.8945351249602264,0.5377509481049626,True,3.2356829110448846
0.01,0.49987837851389083,True,42.2372381831123
0.01,0.49987837851389083,True,42.23723818311229
